pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SI,2025-09-30,100.2,2.41,5.92,"Crochet, Garrett",669224,676979,strikeout,called_strike,,,,,9,Austin Wells called out on strikes.,F,L,L,NYY,BOS,S,2.0,,3,2,2025,1.26,0.85,0.47,1.84,,,683011.0,1,8,Bot,,,,,,,-8.498561163003764,-145.4556547571318,-8.02615257725084,19.93416923182928,35.49796178047302,-18.279872083796096,3.57,1.62,,,,101.8,2461,7.4,813074,665966,663993,686765,608324,596115,680776,678882,677800,53.12,,0.0,0.0,1.0,0.0,0.0,,61,8,Sinker,1,2,1,2,2,1,1,2,Infield shade,Standard,135,-0.09,-0.32,,,,0.32,,-1,-1,0.3155747950362565,0.3155747950362565,26,25,26,26,3,2,6,2,,1,1.43,1.26,1.26,30.3,,,,,
FF,2025-09-30,97.3,2.49,6.1,"Crochet, Garrett",669224,676979,,ball,,,,,12,Ball,F,L,L,NYY,BOS,B,,,2,2,2025,0.58,1.21,1.69,4.42,,,683011.0,1,8,Bot,,,,,,,-3.5384412029408345,-141.57337665334757,-1.7073555374468043,8.69570514123099,37.44978318649657,-15.94669641819504,3.51,1.62,,,,98.3,2421,7.2,813074,665966,663993,686765,608324,596115,680776,678882,677800,53.3,,,,,,,,61,7,4-Seam Fastball,1,2,1,2,2,1,1,2,Infield shade,Standard,142,-0.011,0.098,,,,-0.098,,-1,-1,0.3155747950362565,0.3155747950362565,26,25,26,26,3,2,6,2,,1,1.23,0.58,0.58,33.7,,,,,
SI,2025-09-30,98.6,2.2,6.06,"Crochet, Garrett",669224,676979,,ball,,,,,4,Ball,F,L,L,NYY,BOS,B,,,1,2,2025,0.97,0.82,-0.79,2.64,,,683011.0,1,8,Bot,,,,,,,-10.583974485056824,-143.13959865689256,-5.842663660418815,15.79045394118438,32.84827556225942,-19.65739055033074,3.52,1.68,,,,100.3,2522,7.4,813074,665966,663993,686765,608324,596115,680776,678882,677800,53.14,,,,,,,,61,6,Sinker,1,2,1,2,2,1,1,2,Infield shade,Standard,139,-0.011,0.044,,,,-0.044,,-1,-1,0.3155747950362565,0.3155747950362565,26,25,26,26,3,2,6,2,,1,1.53,0.97,0.97,33.0,,,,,
ST,2025-09-30,85.3,1.98,6.29,"Crochet, Garrett",669224,676979,,foul,,,,,4,Foul,F,L,L,NYY,BOS,S,,,1,2,2025,-1.21,-0.29,-0.47,2.72,,,683011.0,1,8,Bot,,,,,,,-3.3787570878797824,-124.23906612553805,-1.5171626731112835,-11.769782256215583,25.93100029062202,-35.02968571613779,3.53,1.62,141.0,64.0,66.0,86.4,2239,7.0,813074,665966,663993,686765,608324,596115,680776,678882,677800,53.45,,,,,,,,61,5,Sweeper,1,2,1,2,2,1,1,2,Infield shade,Standard,296,-0.011,0.0,63.8,8.0,,0.0,88.0,-1,-1,0.3155747950362565,0.3155747950362565,26,25,26,26,3,2,6,2,,1,3.42,-1.21,-1.21,41.0,22.042419076113426,-16.45611855012673,21.01843260849088,40.740220070690725,35.848388898815486
FF,2025-09-30,98.0,2.14,6.12,"Crochet, Garrett",669224,676979,,ball,,,,,11,Ball,F,L,L,NYY,BOS,B,,,0,2,2025,0.41,1.21,-0.65,4.39,,,683011.0,1,8,Bot,,,,,,,-8.620733124051476,-142.53304786042176,-2.069267942216312,7.4421642632965455,30.717876466908585,-15.27776185044217,3.51,1.62,,,,99.9,2420,7.2,813074,665966,663993,686765,608324,596115,680776,678882,677800,53.27,,,,,,,,61,4,4-Seam Fastball,1,2,1,2,2,1,1,2,Infield shade,Standard,142,-0.011,0.01,,,,-0.01,,-1,-1,0.3155747950362565,0.3155747950362565,26,25,26,26,3,2,6,2,,1,1.15,0.41,0.41,32.9,,,,,
FF,2025-09-30,99.1,2.11,6.25,"Crochet, Garrett",669224,676979,,foul,,,,,3,Foul,F,L,L,NYY,BOS,S,,,0,2,2025,0.35,1.2,0.54,3.07,,,683011.0,1,8,Bot,,,,,,,-5.197738075970181,-144.16958968511764,-6.141060234266424,6.16712936201387,34.83801932674914,-14.21686024418483,3.53,1.62,,,,100.7,2386,7.3,813074,665966,663993,686765,608324,596115,680776,678882,677800,53.24,,,,,,,,61,3,4-Seam Fastball,1,2,1,2,2,1,1,2,Infield shade,Standard,141,-0.011,0.0,74.1,7.3,,0.0,,-1,-1,0.3155747950362565,0.3155747950362565,26,25,26,26,3,2,6,2,,1,1.13,0.35,0.35,37.6,12.58607620647797,-9.599695159581527,30.19014470817579,28.784317375944035,27.37844803962614
SI,2025-09-30,98.4,2.2,5.99,"Crochet, Garrett",669224,676979,,foul,,,,,6,Foul,F,L,L,NYY,BOS,S,,,0,1,2025,1.07,0.45,0.68,2.44,,,683011.0,1,8,Bot,,,,,,,-6.74061344845981,-143.0917228712696,-5.256680613926022,16.34713861397276,34.81570497016837,-24.98162622520279,3.53,1.62,3.0,75.9,-37.0,99.6,2298,7.1,813074,665966,663993,686765,608324,596115,680776,678882,677800,53.4,,,,,,,,61,2,Sinker,1,2,1,2,2,1,1,2,Infield shade,Standard,133,-0.011,-0.047,72.5,7.5,,0.047,88.0,-1,-1,0.3155747950362565,0.3155747950362565,26,25,26,26,3,2,6,2,,1,1.92,1.07,1.07,32.7,11.050602885139671,-7.127221637108142,32.6437556626018,25.95793984472378,29.519209429537604
SI,2025-09-30,97.9,2.41,6.01,"Crochet, Garrett",669224,676979,,called_strike,,,,,2,Called Strike,F,L,L,NYY,BOS,S,,,0,0,2025,1.16,0.38,-0.23,3.24,,,683011.0,1,8,Bot,,,,,,,-9.92935690808677,-142.27130377290328,-2.8760746370104124,18.08376706961316,33.44295269628467,-26.54472868924841,3.59,1.62,,,,99.1,2296,7.1,813074,665966,663993,686765,608324,596115,680776,678882,677800,53.43,,,,,,,,61,1,Sinker,1,2,1,2,2,1,1,2,Infield shade,Standard,143,-0.011,-0.04,,,,0.04,,-1,-1,0.3155747950362565,0.3155747950362565,26,25,26,26,3,2,6,2,,1,2.01,1.16,1.16,31.7,,,,,
FC,2025-09-30,90.3,1.88,6.29,"Crochet, Garrett",683011,676979,single,hit_into_play,,,,,5,Anthony Volpe singles on a ground ball to center fielder Ceddanne Rafaela.,F,R,L,NYY,BOS,X,8.0,ground_ball,1,2,2025,-0.32,0.03,-0.2,2.55,,,,1,8,Bot,115.3,94.17,,,,,-4.542109271467736,-131.6082730177613,-3.5416559036695703,-2.936341075744177,24.76945622149797,-31.382177613123257,3.39,1.61,15.0,106.2,-9.0,92.0,2506,7.0,813074,665966,663993,686765,608324,596115,680776,678882,677800,53.5,0.309,0.29,0.9,1.0,1.0,0.0,2.0,60,4,Cutter,1,2,1,2,2,1,1,2,Standard,Standard,260,0.06,0.489,72.6,6.6,0.329,-0.489,106.2,-1,-1,0.2450571967390918,0.2450571967390918,26,24,26,24,3,2,6,2,,1,2.73,-0.32,0.32,43.5,8.865275225134488,19.30101023135744,33.38353484310566,36.92857303475671,20.71777972518214
FF,2025-09-30,97.8,2.31,6.07,"Crochet, Garrett",683011,676979,,ball,,,,,12,Ball,F,R,L,NYY,BOS,B,,,0,2,2025,0.45,1.36,0.07,4.03,,,,1,8,Bot,,,,,,,-7.162857277537867,-142.33845791332595,-3.218125516507476,7.740925599181216,31.48422526640677,-13.090173069156576,3.46,1.61,,,,99.2,2514,7.0,813074,665966,663993,686765,608324,596115,680776,678882,677800,53.5,,,,,,,,60,3,4-Seam Fastball,1,2,1,2,2,1,1,2,Standard,Standard,140,-0.01,0.017,,,,-0.017,,-1,-1,0.2450571967390918,0.2450571967390918,26,24,26,24,3,2,6,2,,1,1.01,0.45,-0.45,33.3,,,,,
FC,2025-09-30,92.4,1.99,6.16,"Crochet, Garrett",683011,676979,,swinging_strike,,,,,13,Swinging Strike,F,R,L,NYY,BOS,S,,,0,1,2025,-0.14,0.4,-0.23,1.24,,,,1,8,Bot,,,,,,,-5.400264224913613,-134.4409276013239,-7.696774819791048,-0.6272217550926745,28.1160135810646,-25.873648162366937,3.39,1.61,,,,93.6,2520,6.9,813074,665966,663993,686765,608324,596115,680776,678882,677800,53.57,,,,,,,,60,2,Cutter,1,2,1,2,2,1,1,2,Standard,Standard,168,-0.01,-0.052,43.9,6.7,,0.052,,-1,-1,0.2450571967390918,0.2450571967390918,26,24,26,24,3,2,6,2,,1,2.26,-0.14,0.14,38.6,-0.8036482525395386,28.518233262851343,38.67274496456447,35.16718237747448,14.71140372850968
FC,2025-09-30,91.4,2.07,6.13,"Crochet, Garrett",683011,676979,,called_strike,,,,,1,Called Strike,F,R,L,NYY,BOS,S,,,0,0,2025,-0.46,0.17,-0.61,3.26,,,,1,8,Bot,,,,,,,-5.859571379566075,-133.13464917247646,-1.764897191425506,-4.249061202664408,27.56556186358058,-30.02157637347385,3.41,1.61,,,,93.0,2525,7.1,813074,665966,663993,686765,608324,596115,680776,678882,677800,53.39,,,,,,,,60,1,Cutter,1,2,1,2,2,1,1,2,Standard,Standard,202,-0.01,-0.039,,,,0.039,,-1,-1,0.2450571967390918,0.2450571967390918,26,24,26,24,3,2,6,2,,1,2.55,-0.46,0.46,37.7,,,,,
